 55   3.820000  -1.0  0   0.00E+00  0 0                          0                      
 56   3.860000  -1.0  0   0.00E+00  0 0                          0                      
 57   3.900000  -1.0  0   0.00E+00  0 0                          0                      
 58   3.940000  -1.0  0   0.00E+00  0 0                          0                      
 59   3.980000  -1.0  0   0.00E+00  0 0                          0                      
 60   4.020000  -1.0  0   0.00E+00  0 0                          0                      
 61   4.060000  -1.0  0   0.00E+00  0 0                          0                      
 62   4.100000  -1.0  0   0.00E+00  0 0                          0                      
 63   4.140000  -1.0  0   0.00E+00  0 0                          0                      
 64   4.180000  -1.0  0   0.00E+00  0 0                          0                      
 65   4.220000  -1.0  0   0.00E+00  0 0                          0                      
 66   4.260000  -1.0  0   0.00E+00  0 0                          0                      
 67   4.300000  -1.0  0   0.00E+00  0 0                          0                      
 68   4.340000  -1.0  0   0.00E+00  0 0                          0                      
 69   4.380000  -1.0  0   0.00E+00  0 0                          0                      
 70   4.420000  -1.0  0   0.00E+00  0 0                          0                      
 71   4.460000  -1.0  0   0.00E+00  0 0                          0                      
 72   4.500000  -1.0  0   0.00E+00  0 0                          0                      
 73   4.540000  -1.0  0   0.00E+00  0 0                          0                      
 74   4.580000  -1.0  0   0.00E+00  0 0                          0                      
 75   4.620000  -1.0  0   0.00E+00  0 0                          0                      
 76   4.660000  -1.0  0   0.00E+00  0 0                          0                      
 77   4.700000  -1.0  0   0.00E+00  0 0                          0                      
 78   4.740000  -1.0  0   0.00E+00  0 0                          0                      
 79   4.780000  -1.0  0   0.00E+00  0 0                          0                      
 80   4.820000  -1.0  0   0.00E+00  0 0                          0                      
 81   4.860000  -1.0  0   0.00E+00  0 0                          0                      
 82   4.900000  -1.0  0   0.00E+00  0 0                          0                      
 83   4.940000  -1.0  0   0.00E+00  0 0                          0                      
 84   4.980000  -1.0  0   0.00E+00  0 0                          0                      
 85   5.020000  -1.0  0   0.00E+00  0 0                          0                      
 86   5.060000  -1.0  0   0.00E+00  0 0                          0                      
 87   5.100000  -1.0  0   0.00E+00  0 0                          0                      
 88   5.140000  -1.0  0   0.00E+00  0 0                          0                      
 89   5.180000  -1.0  0   0.00E+00  0 0                          0                      
 90   5.220000  -1.0  0   0.00E+00  0 0                          0                      
 91   5.260000  -1.0  0   0.00E+00  0 0                          0                      
